Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline3_organic_injected,context_only,LogisticRegression,0.9376428571428572,0.9372168284789644,0.9847823469387756,0.9865177013830876,27.450162649154663,0.7401502132415771,14000,QWEN3,0.0528678723743983
pipeline1_alamsabi,normal,RandomForest,0.9397142857142856,0.940796857463524,0.9837842857142856,0.9813167570635404,8.058867931365967,0.0744776725769043,14000,OPENAI,0.0053198337554931
pipeline1_alamsabi,normal,XGBoost,0.9414285714285714,0.9420985736477898,0.9829283163265304,0.979243077829271,22.673435926437374,0.0961298942565918,14000,QWEN3,0.0068664210183279
pipeline2_organic_bipia,normal,LightGBM,0.9204285714285714,0.9229598893499308,0.9785520102040816,0.9777871032372248,1.7994413375854492,0.0072219371795654,14000,MINILM,0.0005158526556832
pipeline2_organic_bipia,context_only,LightGBM,0.9198571428571428,0.922331441229406,0.977933836734694,0.9771094797628056,1.4035851955413818,0.0072896480560302,14000,MINILM,0.0005206891468593
pipeline2_organic_bipia,normal,RandomForest,0.9118571428571428,0.9139470013947,0.9775268265306124,0.97761899526371,4.500670433044434,0.0479199886322021,14000,MINILM,0.0034228563308715
pipeline2_organic_bipia,context_only,RandomForest,0.9131428571428571,0.9147623720734612,0.9773719081632654,0.977289522427824,4.153098106384277,0.0472397804260253,14000,MINILM,0.0033742700304303
pipeline1_alamsabi,context_only,LightGBM,0.9234285714285714,0.9255658936258851,0.9763474387755104,0.972500076535966,9.4400532245636,0.1006453037261962,14000,QWEN3,0.0071889502661568
pipeline3_organic_injected,normal,SVM,0.9045,0.9030667730007976,0.9685669387755104,0.9724435678337836,61.14827060699463,1.6668410301208496,14000,QWEN3,0.1190600735800607
pipeline3_organic_injected,normal,LogisticRegression,0.9032142857142856,0.9022295980951006,0.9681831836734692,0.9720751562699298,26.208332538604736,0.6552839279174805,14000,QWEN3,0.0468059948512486
pipeline1_alamsabi,normal,LightGBM,0.9047142857142856,0.9069475446428572,0.9666160102040816,0.961301143634444,10.675654888153076,0.1420342922210693,14000,QWEN3,0.0101453065872192
pipeline3_organic_injected,context_only,XGBoost,0.8932142857142857,0.8905002563539149,0.963003448979592,0.9664245568368884,18.038310766220093,0.0157771110534667,14000,OPENAI,0.001126936503819
pipeline1_alamsabi,context_only,XGBoost,0.8959285714285714,0.8971408400988351,0.961984663265306,0.9550372037155226,4.393604516983032,0.003124713897705,14000,MINILM,0.000223193849836
pipeline1_alamsabi,context_only,RandomForest,0.8921428571428571,0.8989425779681435,0.9615744795918366,0.9559247508216372,10.57612442970276,0.1428685188293457,14000,QWEN3,0.0102048942020961
pipeline1_alamsabi,normal,RandomForest,0.8935714285714286,0.8995686168778646,0.9596903571428572,0.9536631857564816,10.56057357788086,0.3660817146301269,14000,QWEN3,0.0261486939021519
pipeline1_alamsabi,normal,XGBoost,0.8903571428571428,0.8914196788569003,0.9594111326530612,0.954705638797153,4.327290773391724,0.0026900768280029,14000,MINILM,0.0001921483448573
pipeline3_organic_injected,context_only,LightGBM,0.8754285714285714,0.8719718103068566,0.949782081632653,0.9535205250876624,5.982316970825195,0.0150744915008544,14000,OPENAI,0.0010767493929181
pipeline2_organic_bipia,normal,LogisticRegression,0.8683571428571428,0.869355639044446,0.9463357448979594,0.9439050455837428,3.826252698898315,0.0340609550476074,14000,MINILM,0.0024329253605433
pipeline2_organic_bipia,normal,SVM,0.8692857142857143,0.8704699886749717,0.9461996020408164,0.942697399521995,7.727529525756836,0.0893874168395996,14000,MINILM,0.0063848154885428
